REGISTRE;F1;P1;P1A;P1B;P2;P2A;P2B;P3;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P4_9;P4_10;P4_11;P4_12;P4_95;P4_98;P4_99;P5A;P5B;P5C;P5D;P5E;P5F;P5G;P5H;P5I;P5J;P5K;P5L;P5M;P5N;P5O;P5P;P5Q;P5R;P6;P7;P8;ID0;ID1;ID2;ID3;ID4_1;ID4_2;ID5;ID5_1;ID6;ID7;USU;RFD_GB;POND
72;1;1;2; ;1;1; ;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;3;3;1;2;5;5;1;37;3;1; ;1;5;2;104,5;,78
73;1;2; ;4;1;1; ;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;2;2;1;1;1;2;2;1;2;2;2;2;2;2;1;1;2;1;8;50;31;2;61;5;2; ;1;3;3;49,2;,72
75;1;1;2; ;1;1; ;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;2;2;1;2;1;1;2;2;2;2;1;1;2;2;2;1;3;1;8;50;31;2;26;2;1; ;2;2;1;49,2;,72
76;1;1;1; ;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;8;50;31;1;68;6;1; ;3;2;4;49,2;,72
77;1;1;2; ;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;3; ;8;50;31;1;58;5;1; ;2;2;5;49,2;,72
78;1;1;2; ;1;1; ;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;2;1;2;2;1;2;1;2;2;2;2;1;2;2;2;3;2;8;50;31;1;28;2;1; ;1;2;2;49,2;,72
79;1;2; ;4;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;8;50;31;1;25;2;3;340;2;2;4;49,2;,72
81;1;1;2; ;1;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1; ;8;50;31;1;16;1;1; ;5;2;4;49,2;,72
82;1;2; ;4;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3; ;8;50;31;2;43;3;1; ;1;1;5;49,2;,72
84;1;1;2; ;1;1; ;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;1;1;2;3;2;8;50;31;2;40;3;1; ;2;5;2;49,2;,72
85;1;1;2; ;1;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;2;2;2;2;2;2;1;1;2;2;1;2;2;8;50;31;1;16;1;2; ;5;2;4;49,2;,72
86;1;2; ;5;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2; ;8;50;31;1;31;2;3;586;1;2;5;49,2;,72
87;1;2; ;6;2; ; ;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3; ;8;50;31;2;73;6;1; ;3;2;5;49,2;,72
88;1;1;1; ;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;8;50;31;2;21;1;1; ;1;2;5;49,2;,72
89;1;2; ;6;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;50;31;1;65;6;1; ;3;2;6;49,2;,72
90;1;1;2; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;3; ;8;50;31;2;52;4;1; ;2;3;3;49,2;,72
91;1;1;1; ;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;2;8;50;31;2;35;3;3;558;1;3;4;49,2;,72
92;1;2; ;11;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;1;2;2;2;1;2;2;1;2;3;1;2;8;50;31;2;26;2;1; ;1;1;4;49,2;,72
